state,hectares,year
ACT,3,2016-17
NSW,276447,2016-17
NT,4361511,2016-17
Qld,6271872,2016-17
SA,25257,2016-17
Tas,37089,2016-17
Vic,14491,2016-17
WA,202003,2016-17
ACT,134,2017-18
NSW,22518,2017-18
NT,18741262,2017-18
Qld,4420894,2017-18
SA,137440,2017-18
Tas,10772,2017-18
Vic,57277,2017-18
WA,402289,2017-18
ACT,222,2018-19
NSW,271200,2018-19
NT,11490473,2018-19
Qld,4860362,2018-19
SA,181395,2018-19
Tas,210390,2018-19
Vic,203718,2018-19
WA,597328,2018-19
ACT,88242,2019-20
NSW,5429872,2019-20
NT,7830582,2019-20
Qld,4383865,2019-20
SA,319764,2019-20
Tas,42554,2019-20
Vic,1514686,2019-20
WA,1183529,2019-20
NSW,37309,2020-21
NT,4245846,2020-21
Qld,3097103,2020-21
SA,31391,2020-21
Tas,2331,2020-21
Vic,9134,2020-21
WA,77405,2020-21
