year,rainfall_mm,anomaly_mm
1900,376.0,-90.0
1901,404.92,-61.1
1902,319.52,-146.5
1903,520.28,54.2
1904,505.83,39.8
1905,332.52,-133.5
1906,490.93,24.9
1907,460.59,-5.4
1908,458.03,-8.0
1909,443.02,-23.0
1910,535.56,69.5
1911,436.93,-29.1
1912,384.8,-81.2
1913,444.92,-21.1
1914,425.02,-41.0
1915,381.84,-84.2
1916,530.59,64.6
1917,578.01,112.0
1918,430.84,-35.2
1919,366.02,-100.0
1920,514.56,48.5
1921,550.43,84.4
1922,416.21,-49.8
1923,411.33,-54.7
1924,409.28,-56.8
1925,421.37,-44.7
1926,413.71,-52.3
1927,417.73,-48.3
1928,360.39,-105.6
1929,378.47,-87.6
1930,490.94,24.9
1931,435.92,-30.1
1932,386.14,-79.9
1933,444.51,-21.5
1934,438.58,-27.4
1935,349.7,-116.3
1936,404.48,-61.5
1937,385.81,-80.2
1938,363.7,-102.3
1939,492.39,26.4
1940,395.42,-70.6
1941,480.39,14.4
1942,530.8,64.8
1943,389.53,-76.5
1944,380.56,-85.5
1945,409.97,-56.1
1946,407.11,-58.9
1947,500.14,34.1
1948,385.48,-80.5
1949,476.95,10.9
1950,627.49,161.5
1951,369.27,-96.8
1952,384.01,-82.0
1953,426.13,-39.9
1954,460.55,-5.5
1955,573.18,107.1
1956,601.3,135.3
1957,388.68,-77.3
1958,418.56,-47.5
1959,414.37,-51.7
1960,458.4,-7.6
1961,336.14,-129.9
1962,436.42,-29.6
1963,475.58,9.6
1964,425.99,-40.0
1965,345.72,-120.3
1966,397.56,-68.5
1967,428.88,-37.1
1968,544.54,78.5
1969,410.8,-55.2
1970,380.41,-85.6
1971,486.33,20.3
1972,362.26,-103.8
1973,641.11,175.1
1974,760.57,294.5
1975,593.78,127.8
1976,522.95,56.9
1977,469.86,3.8
1978,517.39,51.4
1979,451.81,-14.2
1980,429.75,-36.3
1981,527.34,61.3
1982,415.14,-50.9
1983,492.99,27.0
1984,546.45,80.4
1985,397.53,-68.5
1986,385.94,-80.1
1987,450.08,-15.9
1988,454.26,-11.8
1989,480.3,14.3
1990,413.17,-52.9
1991,460.81,-5.2
1992,447.91,-18.1
1993,487.96,21.9
1994,338.68,-127.3
1995,518.15,52.1
1996,462.26,-3.8
1997,514.17,48.1
1998,548.86,82.8
1999,578.77,112.7
2000,710.57,244.5
2001,542.8,76.8
2002,332.54,-133.5
2003,469.91,3.9
2004,491.58,25.6
2005,394.3,-71.7
2006,482.06,16.0
2007,495.65,29.6
2008,471.42,5.4
2009,452.69,-13.3
2010,683.7,217.7
2011,696.7,230.7
2012,471.84,5.8
2013,422.61,-43.4
2014,473.38,7.4
2015,436.74,-29.3
2016,532.09,66.1
2017,494.44,28.4
2018,405.85,-60.2
2019,275.71,-190.3
2020,486.59,20.6
2021,507.74,41.7
2022,589.25,123.2
2023,473.07,7.0
2024,601.56,135.5
2025,504.52,38.5
2026,0,0
2027,0,0
2028,0,0
2029,0,0
