state,hectares,era,hectares_label
ACT,120,"Pre–Black Summer
(2016–19 avg)",0k ha
NSW,190055,"Pre–Black Summer
(2016–19 avg)",190k ha
Qld,5184376,"Pre–Black Summer
(2016–19 avg)",5.18M ha
SA,114697,"Pre–Black Summer
(2016–19 avg)",115k ha
Tas,86084,"Pre–Black Summer
(2016–19 avg)",86k ha
Vic,91829,"Pre–Black Summer
(2016–19 avg)",92k ha
WA,400540,"Pre–Black Summer
(2016–19 avg)",401k ha
ACT,88242,"Black Summer
(2019–20)",88k ha
NSW,5429872,"Black Summer
(2019–20)",5.43M ha
Qld,4383865,"Black Summer
(2019–20)",4.38M ha
SA,319764,"Black Summer
(2019–20)",320k ha
Tas,42554,"Black Summer
(2019–20)",43k ha
Vic,1514686,"Black Summer
(2019–20)",1.51M ha
WA,1183529,"Black Summer
(2019–20)",1.18M ha
