event,year,era,deaths,homes,source,icons
Black Summer NSW,2019,Post-2000,26,2448,AIDR,24
Black Summer NSW,2019,Post-2000,26,2448,AIDR,24
Black Summer NSW,2019,Post-2000,26,2448,AIDR,24
Black Summer NSW,2019,Post-2000,26,2448,AIDR,24
Black Summer NSW,2019,Post-2000,26,2448,AIDR,24
Black Summer NSW,2019,Post-2000,26,2448,AIDR,24
Black Summer NSW,2019,Post-2000,26,2448,AIDR,24
Black Summer NSW,2019,Post-2000,26,2448,AIDR,24
Black Summer NSW,2019,Post-2000,26,2448,AIDR,24
Black Summer NSW,2019,Post-2000,26,2448,AIDR,24
Black Summer NSW,2019,Post-2000,26,2448,AIDR,24
Black Summer NSW,2019,Post-2000,26,2448,AIDR,24
Black Summer NSW,2019,Post-2000,26,2448,AIDR,24
Black Summer NSW,2019,Post-2000,26,2448,AIDR,24
Black Summer NSW,2019,Post-2000,26,2448,AIDR,24
Black Summer NSW,2019,Post-2000,26,2448,AIDR,24
Black Summer NSW,2019,Post-2000,26,2448,AIDR,24
Black Summer NSW,2019,Post-2000,26,2448,AIDR,24
Black Summer NSW,2019,Post-2000,26,2448,AIDR,24
Black Summer NSW,2019,Post-2000,26,2448,AIDR,24
Black Summer NSW,2019,Post-2000,26,2448,AIDR,24
Black Summer NSW,2019,Post-2000,26,2448,AIDR,24
Black Summer NSW,2019,Post-2000,26,2448,AIDR,24
Black Summer NSW,2019,Post-2000,26,2448,AIDR,24
Black Summer VIC,2019,Post-2000,5,300,AIDR,3
Black Summer VIC,2019,Post-2000,5,300,AIDR,3
Black Summer VIC,2019,Post-2000,5,300,AIDR,3
Black Summer SA,2019,Post-2000,4,140,AIDR,1
Black Saturday VIC,2009,Post-2000,180,2100,AIDR/EM-DAT,21
Black Saturday VIC,2009,Post-2000,180,2100,AIDR/EM-DAT,21
Black Saturday VIC,2009,Post-2000,180,2100,AIDR/EM-DAT,21
Black Saturday VIC,2009,Post-2000,180,2100,AIDR/EM-DAT,21
Black Saturday VIC,2009,Post-2000,180,2100,AIDR/EM-DAT,21
Black Saturday VIC,2009,Post-2000,180,2100,AIDR/EM-DAT,21
Black Saturday VIC,2009,Post-2000,180,2100,AIDR/EM-DAT,21
