state,year,month,total_frp,fire_count,month_name,period,sort_order
ACT,2019,9,11.1,2,Sep,Sep 2019,201909
ACT,2019,11,9.5,1,Nov,Nov 2019,201911
NSW,2019,9,293033.9,4320,Sep,Sep 2019,201909
NSW,2019,11,2430587.3,25404,Nov,Nov 2019,201911
NSW,2019,12,2701099.4,34268,Dec,Dec 2019,201912
NT,2019,9,404192.1,6612,Sep,Sep 2019,201909
NT,2019,11,171324.0,3025,Nov,Nov 2019,201911
NT,2019,12,450051.6,6507,Dec,Dec 2019,201912
QLD,2019,9,324011.8,6218,Sep,Sep 2019,201909
QLD,2019,11,382222.5,6899,Nov,Nov 2019,201911
QLD,2019,12,863676.6,14809,Dec,Dec 2019,201912
SA,2019,9,8195.7,162,Sep,Sep 2019,201909
SA,2019,11,14743.0,171,Nov,Nov 2019,201911
SA,2019,12,270840.2,1705,Dec,Dec 2019,201912
TAS,2019,9,4214.0,111,Sep,Sep 2019,201909
TAS,2019,11,2950.8,51,Nov,Nov 2019,201911
TAS,2019,12,19759.0,242,Dec,Dec 2019,201912
VIC,2019,9,7449.6,205,Sep,Sep 2019,201909
VIC,2019,11,137861.1,831,Nov,Nov 2019,201911
VIC,2019,12,1427534.8,9475,Dec,Dec 2019,201912
WA,2019,9,137342.4,2117,Sep,Sep 2019,201909
WA,2019,11,1085788.0,10755,Nov,Nov 2019,201911
WA,2019,12,1918628.8,14404,Dec,Dec 2019,201912
