event,year,era,deaths,homes,unit_type,unit_index
Black Summer NSW,2019,Post-2000,26,2448,homes,1
Black Summer NSW,2019,Post-2000,26,2448,homes,2
Black Summer NSW,2019,Post-2000,26,2448,homes,3
Black Summer NSW,2019,Post-2000,26,2448,homes,4
Black Summer NSW,2019,Post-2000,26,2448,homes,5
Black Summer NSW,2019,Post-2000,26,2448,homes,6
Black Summer NSW,2019,Post-2000,26,2448,homes,7
Black Summer NSW,2019,Post-2000,26,2448,homes,8
Black Summer NSW,2019,Post-2000,26,2448,homes,9
Black Summer NSW,2019,Post-2000,26,2448,homes,10
Black Summer NSW,2019,Post-2000,26,2448,homes,11
Black Summer NSW,2019,Post-2000,26,2448,homes,12
Black Summer NSW,2019,Post-2000,26,2448,homes,13
Black Summer NSW,2019,Post-2000,26,2448,homes,14
Black Summer NSW,2019,Post-2000,26,2448,homes,15
Black Summer NSW,2019,Post-2000,26,2448,homes,16
Black Summer NSW,2019,Post-2000,26,2448,homes,17
Black Summer NSW,2019,Post-2000,26,2448,homes,18
Black Summer NSW,2019,Post-2000,26,2448,homes,19
Black Summer NSW,2019,Post-2000,26,2448,homes,20
Black Summer NSW,2019,Post-2000,26,2448,homes,21
Black Summer NSW,2019,Post-2000,26,2448,homes,22
Black Summer NSW,2019,Post-2000,26,2448,homes,23
Black Summer NSW,2019,Post-2000,26,2448,homes,24
Black Summer NSW,2019,Post-2000,26,2448,homes,25
Black Summer NSW,2019,Post-2000,26,2448,deaths,1
Black Summer NSW,2019,Post-2000,26,2448,deaths,2
Black Summer NSW,2019,Post-2000,26,2448,deaths,3
Black Summer NSW,2019,Post-2000,26,2448,deaths,4
Black Summer NSW,2019,Post-2000,26,2448,deaths,5
Black Summer NSW,2019,Post-2000,26,2448,deaths,6
Black Summer NSW,2019,Post-2000,26,2448,deaths,7
Black Summer NSW,2019,Post-2000,26,2448,deaths,8
Black Summer NSW,2019,Post-2000,26,2448,deaths,9
Black Summer NSW,2019,Post-2000,26,2448,deaths,10
Black Summer NSW,2019,Post-2000,26,2448,deaths,11
Black Summer NSW,2019,Post-2000,26,2448,deaths,12
Black Summer NSW,2019,Post-2000,26,2448,deaths,13
Black Summer NSW,2019,Post-2000,26,2448,deaths,14
Black Summer NSW,2019,Post-2000,26,2448,deaths,15
Black Summer NSW,2019,Post-2000,26,2448,deaths,16
Black Summer NSW,2019,Post-2000,26,2448,deaths,17
Black Summer NSW,2019,Post-2000,26,2448,deaths,18
Black Summer NSW,2019,Post-2000,26,2448,deaths,19
Black Summer NSW,2019,Post-2000,26,2448,deaths,20
Black Summer NSW,2019,Post-2000,26,2448,deaths,21
Black Summer NSW,2019,Post-2000,26,2448,deaths,22
